,Name,Quantity,Date,Cost,Order ID,Merchant_ID
0,Rise and Shine,1.0,2018-03-25T15:37:47Z,1245,veRSLHBsofJmR5GwGGDE4wMF,E5PYWY39PNHTN
1,Small Fry,1.0,2018-03-25T15:37:47Z,445,veRSLHBsofJmR5GwGGDE4wMF,E5PYWY39PNHTN
2,Gobbler,1.0,2018-03-25T15:44:41Z,1045,zDvzbsdP2wfJY03wfpVpozMF,E5PYWY39PNHTN
3,Oinking Cow,1.0,2018-03-25T15:44:41Z,995,zDvzbsdP2wfJY03wfpVpozMF,E5PYWY39PNHTN
4,Smashed Grilled Cheese ,1.0,2018-03-25T15:44:41Z,545,zDvzbsdP2wfJY03wfpVpozMF,E5PYWY39PNHTN
5,Small Fry,1.0,2018-03-25T15:44:41Z,445,zDvzbsdP2wfJY03wfpVpozMF,E5PYWY39PNHTN
6,Dr. Pepper,1.0,2018-03-25T15:44:41Z,200,zDvzbsdP2wfJY03wfpVpozMF,E5PYWY39PNHTN
7,Water Bottle,1.0,2018-03-25T15:44:41Z,200,zDvzbsdP2wfJY03wfpVpozMF,E5PYWY39PNHTN
8,Coca Cola,1.0,2018-03-25T15:45:58Z,200,UQTUuFL5fubUPxL4GpracwMF,E5PYWY39PNHTN
9,Gobbler,1.0,2018-03-25T15:54:46Z,1045,JiPnHDyRjKJ6mb65Tzo9ctMF,E5PYWY39PNHTN
10,19 W Cheeseburger,1.0,2018-03-25T15:54:46Z,745,JiPnHDyRjKJ6mb65Tzo9ctMF,E5PYWY39PNHTN
11,Small Fry,1.0,2018-03-25T15:54:46Z,445,JiPnHDyRjKJ6mb65Tzo9ctMF,E5PYWY39PNHTN
12,Ginger Ale,1.0,2018-03-25T15:54:46Z,200,JiPnHDyRjKJ6mb65Tzo9ctMF,E5PYWY39PNHTN
13,Caesar Burger,1.0,2018-03-25T16:01:33Z,695,JbIo3VJPqUFQDOm8ICQEKQB,E5PYWY39PNHTN
14,Small Fry,1.0,2018-03-25T16:01:33Z,445,JbIo3VJPqUFQDOm8ICQEKQB,E5PYWY39PNHTN
15,Diet Coke,1.0,2018-03-25T16:01:33Z,200,JbIo3VJPqUFQDOm8ICQEKQB,E5PYWY39PNHTN
16,19 W Cheeseburger,1.0,2018-03-25T16:04:35Z,745,7n2ekRMLndZ31qbFYYpeksMF,E5PYWY39PNHTN
17,Coca Cola,2.0,2018-03-25T16:04:35Z,200,7n2ekRMLndZ31qbFYYpeksMF,E5PYWY39PNHTN
18,Large Fry,1.0,2018-03-25T16:04:35Z,595,7n2ekRMLndZ31qbFYYpeksMF,E5PYWY39PNHTN
19,Oinking Cow,1.0,2018-03-25T16:04:35Z,995,7n2ekRMLndZ31qbFYYpeksMF,E5PYWY39PNHTN
20,Theta Burger,1.0,2018-03-25T16:11:48Z,749,YviZuOiXKqsJbL4G5tYE5sMF,E5PYWY39PNHTN
21,19 W Cheeseburger,1.0,2018-03-25T16:11:48Z,745,YviZuOiXKqsJbL4G5tYE5sMF,E5PYWY39PNHTN
22,19 W Cheeseburger,1.0,2018-03-25T16:11:48Z,745,YviZuOiXKqsJbL4G5tYE5sMF,E5PYWY39PNHTN
23,Large Fry,1.0,2018-03-25T16:11:48Z,595,YviZuOiXKqsJbL4G5tYE5sMF,E5PYWY39PNHTN
24,19 W Cheeseburger,1.0,2018-03-25T16:20:31Z,745,zkoXVt6uYpuct8CNrQvRLQB,E5PYWY39PNHTN
25,Small Fry,1.0,2018-03-25T16:20:31Z,445,zkoXVt6uYpuct8CNrQvRLQB,E5PYWY39PNHTN
26,Theta Burger,1.0,2018-03-25T16:42:06Z,749,vnRrj4oPg5FTThU5AtFMuvMF,E5PYWY39PNHTN
27,Oinking Cow,1.0,2018-03-25T16:42:06Z,995,vnRrj4oPg5FTThU5AtFMuvMF,E5PYWY39PNHTN
28,Large Fry,1.0,2018-03-25T16:42:06Z,595,vnRrj4oPg5FTThU5AtFMuvMF,E5PYWY39PNHTN
29,Diet Coke,1.0,2018-03-25T16:42:06Z,200,vnRrj4oPg5FTThU5AtFMuvMF,E5PYWY39PNHTN
30,Blue Moon (draft),1.0,2018-03-25T16:42:06Z,775,vnRrj4oPg5FTThU5AtFMuvMF,E5PYWY39PNHTN
31,Theta Burger,1.0,2018-03-25T16:56:09Z,749,Nxv58mnDGUT18g7Ef41wttMF,E5PYWY39PNHTN
32,Small Fry,1.0,2018-03-25T16:56:09Z,445,Nxv58mnDGUT18g7Ef41wttMF,E5PYWY39PNHTN
33,Theta Burger,1.0,2018-03-25T17:15:34Z,749,qdjVCS8zagU8oVjlJEq1OxMF,E5PYWY39PNHTN
34,Oinking Cow,1.0,2018-03-25T17:15:34Z,995,qdjVCS8zagU8oVjlJEq1OxMF,E5PYWY39PNHTN
35,Oinking Cow,1.0,2018-03-25T17:15:34Z,995,qdjVCS8zagU8oVjlJEq1OxMF,E5PYWY39PNHTN
36,Large Fry,1.0,2018-03-25T17:15:34Z,595,qdjVCS8zagU8oVjlJEq1OxMF,E5PYWY39PNHTN
37,DC Brau Corruption IPA,1.0,2018-03-25T17:15:34Z,775,qdjVCS8zagU8oVjlJEq1OxMF,E5PYWY39PNHTN
38,Coca Cola,1.0,2018-03-25T17:15:34Z,200,qdjVCS8zagU8oVjlJEq1OxMF,E5PYWY39PNHTN
39,Blue Moon (draft),2.0,2018-03-25T17:19:22Z,775,TwIKws8aIT2xARo8l2aRKQB,E5PYWY39PNHTN
40,19 W Cheeseburger,2.0,2018-03-25T17:30:44Z,745,xMu8uQcz4drXHXJvdkO6ZzMF,E5PYWY39PNHTN
41,Large Fry,1.0,2018-03-25T17:30:44Z,595,xMu8uQcz4drXHXJvdkO6ZzMF,E5PYWY39PNHTN
42,Water Bottle,2.0,2018-03-25T17:30:44Z,200,xMu8uQcz4drXHXJvdkO6ZzMF,E5PYWY39PNHTN
43,Blue Moon (draft),1.0,2018-03-25T17:38:35Z,775,nYR7EH5yKQXvhcx2TjUkKQB,E5PYWY39PNHTN
44,19 W Cheeseburger,1.0,2018-03-25T17:47:56Z,745,fmn8nYmLarLdJsQ0xkDzGuMF,E5PYWY39PNHTN
45,19 W Cheeseburger,1.0,2018-03-25T17:47:56Z,745,fmn8nYmLarLdJsQ0xkDzGuMF,E5PYWY39PNHTN
46,19 W Burger,1.0,2018-03-25T17:47:56Z,645,fmn8nYmLarLdJsQ0xkDzGuMF,E5PYWY39PNHTN
47,Large Fry,1.0,2018-03-25T17:47:56Z,595,fmn8nYmLarLdJsQ0xkDzGuMF,E5PYWY39PNHTN
48,Theta Burger,1.0,2018-03-25T18:03:13Z,749,GYtBkRH6hlrml39VM06sawMF,E5PYWY39PNHTN
49,Small Fry,1.0,2018-03-25T18:03:13Z,445,GYtBkRH6hlrml39VM06sawMF,E5PYWY39PNHTN
50,Coca Cola,1.0,2018-03-25T18:03:13Z,200,GYtBkRH6hlrml39VM06sawMF,E5PYWY39PNHTN
51,Oinking Cow,1.0,2018-03-25T18:07:29Z,995,l6nRUU39IufTmhOaV8jj7wMF,E5PYWY39PNHTN
52,Large Fry,1.0,2018-03-25T18:07:29Z,595,l6nRUU39IufTmhOaV8jj7wMF,E5PYWY39PNHTN
53,Triple Dip,1.0,2018-03-25T18:07:29Z,200,l6nRUU39IufTmhOaV8jj7wMF,E5PYWY39PNHTN
54,Theta Burger,1.0,2018-03-25T18:07:29Z,749,l6nRUU39IufTmhOaV8jj7wMF,E5PYWY39PNHTN
55,Dr. Pepper,1.0,2018-03-25T18:07:29Z,200,l6nRUU39IufTmhOaV8jj7wMF,E5PYWY39PNHTN
56,Coca Cola,1.0,2018-03-25T18:07:29Z,200,l6nRUU39IufTmhOaV8jj7wMF,E5PYWY39PNHTN
57,Theta Burger,1.0,2018-03-25T18:11:31Z,749,2vPQJIuwJQKIMRg9Zik27wMF,E5PYWY39PNHTN
58,19 W Cheeseburger,1.0,2018-03-25T18:11:31Z,745,2vPQJIuwJQKIMRg9Zik27wMF,E5PYWY39PNHTN
59,Large Fry,1.0,2018-03-25T18:11:31Z,595,2vPQJIuwJQKIMRg9Zik27wMF,E5PYWY39PNHTN
60,Miller Lite (draft),2.0,2018-03-25T18:11:31Z,575,2vPQJIuwJQKIMRg9Zik27wMF,E5PYWY39PNHTN
61,Theta Burger,1.0,2018-03-25T18:23:36Z,749,PGGjoEMtnvQF79uPzPLJLQB,E5PYWY39PNHTN
62,Dr. Pepper,1.0,2018-03-25T18:23:36Z,200,PGGjoEMtnvQF79uPzPLJLQB,E5PYWY39PNHTN
63,Large Fry,1.0,2018-03-25T18:33:04Z,595,8hNcBFE3pMUzqbwxIc66gsMF,E5PYWY39PNHTN
64,19 W Cheeseburger,1.0,2018-03-25T18:41:46Z,745,zwen4NS2P0KvR03XNkyGWwMF,E5PYWY39PNHTN
65,Large Fry,1.0,2018-03-25T18:41:46Z,595,zwen4NS2P0KvR03XNkyGWwMF,E5PYWY39PNHTN
66,Water Bottle,1.0,2018-03-25T18:41:46Z,200,zwen4NS2P0KvR03XNkyGWwMF,E5PYWY39PNHTN
67,19 W Cheeseburger,1.0,2018-03-25T18:43:14Z,745,Ckt4cT7JMy4jjSQ7W1hWtwMF,E5PYWY39PNHTN
68,Coca Cola,1.0,2018-03-25T18:43:14Z,200,Ckt4cT7JMy4jjSQ7W1hWtwMF,E5PYWY39PNHTN
69,Shroomer,1.0,2018-03-25T18:50:06Z,995,xRDPyoqH6LDWmR17BgzGLQB,E5PYWY39PNHTN
70,Gobbler,1.0,2018-03-25T18:50:06Z,1045,xRDPyoqH6LDWmR17BgzGLQB,E5PYWY39PNHTN
71,Caesar Burger,2.0,2018-03-25T21:04:11Z,695,EDkLvMjKfnXKX8xpH9NJ8sMF,E5PYWY39PNHTN
72,19 W Cheeseburger,1.0,2018-03-25T21:04:11Z,745,EDkLvMjKfnXKX8xpH9NJ8sMF,E5PYWY39PNHTN
73,Large Fry,1.0,2018-03-25T21:04:11Z,595,EDkLvMjKfnXKX8xpH9NJ8sMF,E5PYWY39PNHTN
